absent,abstain,no,yes,possible,attendance,rate,mp_id,name,party,group,photo,constituency,abbreviation,účast
164,47,12,218,441,277,0.6281179138321995,134,Ondřej Feber,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/febero_295.jpg,Karviná,ANO a SOCDEM,63
191,75,9,166,441,250,0.5668934240362812,367,Zdeněk Matušek,ČSSD+ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/matusekz_295.jpg,Frýdek-Místek,ANO a SOCDEM,57
158,55,17,211,441,283,0.6417233560090703,206,Petr Vícha,ČSSD,ANO a SOCDEM,https://www.senat.cz/images/senatori/vichap_295.jpg,Karviná,ANO a SOCDEM,64
100,39,23,279,441,341,0.7732426303854876,356,Věra Procházková,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/prochazkovav_295.jpg,Karlovy Vary,ANO a SOCDEM,77
71,95,14,261,441,370,0.8390022675736961,332,Miroslav Adámek,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/adamekm_295.jpg,Šumperk,ANO a SOCDEM,84
171,69,13,188,441,270,0.6122448979591837,305,Ladislav Václavec,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/vaclavecl_295.jpg,Bruntál,ANO a SOCDEM,61
97,59,16,269,441,344,0.780045351473923,63,Jitka Seitlová,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/seitlovaj_295.jpg,Přerov,KDU-ČSL,78
27,39,21,354,441,414,0.9387755102040817,366,Ivana Váňová,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vanovai_295.jpg,Nový Jičín,KDU-ČSL,94
82,50,6,303,441,359,0.8140589569160998,365,Bohuslav Procházka,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/prochazkab_295.jpg,Kutná Hora,KDU-ČSL,81
51,35,14,341,441,390,0.8843537414965986,355,Petr Fiala,KDU-ČSL+SproK,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/fialap_295.jpg,Ústí nad Orlicí,KDU-ČSL,88
87,47,11,296,441,354,0.8027210884353742,354,Josef Bazala,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/bazalaj_295.jpg,Uherské Hradiště,KDU-ČSL,80
89,74,9,269,441,352,0.7981859410430839,347,Josef Klement,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/klementj_295.jpg,Žďár nad Sázavou,KDU-ČSL,80
88,34,15,304,441,353,0.800453514739229,304,Lumír Kantor,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/kantorl_295.jpg,Olomouc,KDU-ČSL,80
32,46,9,354,441,409,0.927437641723356,302,Jaromíra Vítková,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vitkovaj_295.jpg,Blansko,KDU-ČSL,93
37,43,11,350,441,404,0.9160997732426304,369,Eva Rajchmanová,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/rajchmanovae_295.jpg,Hodonín,KDU-ČSL,92
190,76,12,163,441,251,0.5691609977324263,207,Jiří Čunek,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/cunekj_295.jpg,Vsetín,KDU-ČSL,57
55,133,5,248,441,386,0.8752834467120182,272,Patrik Kunčar,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/kuncarp_295.jpg,Zlín,KDU-ČSL,88
157,39,1,244,441,284,0.6439909297052154,240,Miluše Horská,KDU-ČSL+Nestran,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/horskam_295.jpg,Pardubice,KDU-ČSL,64
37,73,8,323,441,404,0.9160997732426304,319,Pavel Fischer,NK,Nezařazení,https://www.senat.cz/images/senatori/fischerp_295.jpg,Praha 12,Nezařazení,92
17,100,106,218,441,424,0.9614512471655329,358,Daniela Kovářová,NK,Nezařazení,https://www.senat.cz/images/senatori/kovarovad_295.jpg,Plzeň-město,Nezařazení,96
168,71,26,176,441,273,0.6190476190476191,368,Jana Zwyrtek Hamplová,NEZ,Nezařazení,https://www.senat.cz/images/senatori/hamplovaj_295.jpg,Kroměříž,Nezařazení,62
8,62,21,350,441,433,0.981859410430839,362,Hana Kordová Marvanová,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/marvanovah_295.jpg,Praha 11,ODS a TOP 09,98
14,83,26,318,441,427,0.9682539682539683,329,Rostislav Koštial,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/kostialr_295.jpg,Břeclav,ODS a TOP 09,97
68,28,35,310,441,373,0.8458049886621315,361,Jan Pirk,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/pirkj_295.jpg,Praha 10,ODS a TOP 09,85
109,35,32,265,441,332,0.7528344671201814,331,Jitka Chalánková,NK,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chalankovaj_295.jpg,Prostějov,ODS a TOP 09,75
83,67,11,280,441,358,0.8117913832199547,359,Marek Slabý,KDUODST2020TOP,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/slabym_295.jpg,Tábor,ODS a TOP 09,81
102,60,19,260,441,339,0.7687074829931972,333,Herbert Pavera,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/paverah_295.jpg,Opava,ODS a TOP 09,77
132,71,15,223,441,309,0.7006802721088435,335,Hynek Hanza,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/hanzah_295.jpg,Teplice,ODS a TOP 09,70
155,39,29,218,441,286,0.6485260770975056,327,Michal Kortyš,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/kortysm_295.jpg,Svitavy,ODS a TOP 09,65
2,47,21,371,441,439,0.9954648526077098,339,Tomáš Fiala,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/fialat_295.jpg,Strakonice,ODS a TOP 09,100
39,130,28,244,441,402,0.9115646258503401,340,Jaroslav Chalupský,Svobodní,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chalupskyj_295.jpg,Pelhřimov,ODS a TOP 09,91
65,47,36,293,441,376,0.8526077097505669,342,Miroslava Němcová,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nemcovam_295.jpg,Praha 1,ODS a TOP 09,85
102,50,17,272,441,339,0.7687074829931972,243,Miloš Vystrčil,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/vystrcilm_295.jpg,Jihlava,ODS a TOP 09,77
9,63,27,342,441,432,0.9795918367346939,346,Jan Grulich,TOP 09+LES,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/grulichj_295.jpg,Rychnov nad Kněžnou,ODS a TOP 09,98
156,166,13,106,441,285,0.6462585034013606,268,Jaroslav Zeman,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/zemanj_295.jpg,Jablonec nad Nisou,ODS a TOP 09,65
70,72,13,286,441,371,0.8412698412698413,348,Tomáš Třetina,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/tretinat_295.jpg,Znojmo,ODS a TOP 09,84
155,40,14,232,441,286,0.6485260770975056,353,Ondřej Šimetka,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/simetkao_295.jpg,Ostrava-město,ODS a TOP 09,65
88,64,13,276,441,353,0.800453514739229,357,Jan Paparega,ProMOST,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/paparegaj_295.jpg,Most,ODS a TOP 09,80
19,30,42,350,441,422,0.9569160997732427,350,Roman Kraus,ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/krausr_295.jpg,Brno-město,ODS a TOP 09,96
124,68,12,237,441,317,0.7188208616780045,326,Martin Červíček,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/cervicekm_295.jpg,Náchod,ODS a TOP 09,72
142,61,12,226,441,299,0.6780045351473923,324,Zdeněk Hraba,STAN,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/hrabaz_295.jpg,Benešov,ODS a TOP 09,68
77,100,8,256,441,364,0.8253968253968254,298,Jiří Růžička,KDU+ODS+STA+TOP,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/ruzickaj_295.jpg,Praha 6,ODS a TOP 09,83
69,123,32,217,441,372,0.8435374149659864,171,Tomáš Jirsa,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/jirsat_295.jpg,Český Krumlov,ODS a TOP 09,84
28,42,22,349,441,413,0.9365079365079365,301,Tomáš Czernin,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/czernint_295.jpg,Jičín,ODS a TOP 09,94
152,43,6,240,441,289,0.655328798185941,303,Jiří Dušek,ČSSDODSVasFaktB,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/dusekj_295.jpg,Brno-město,ODS a TOP 09,66
117,80,12,232,441,324,0.7346938775510204,275,Lumír Aschenbrenner,ODSTOPKDUADSMon,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/aschenbrennerl_295.jpg,Plzeň-město,ODS a TOP 09,73
29,59,36,317,441,412,0.9342403628117913,307,Zdeněk Nytra,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nytraz_295.jpg,Ostrava-město,ODS a TOP 09,93
108,64,17,252,441,333,0.7551020408163265,172,Jiří Oberfalzer,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/oberfalzerj_295.jpg,Beroun,ODS a TOP 09,76
0,49,26,366,441,441,1.0,325,Jan Tecl,ODS+STAN+STO,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/teclj_295.jpg,Chrudim,ODS a TOP 09,100
100,52,18,271,441,341,0.7732426303854876,194,Tomáš Töpfer,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/topfert_295.jpg,Brno-město,ODS a TOP 09,77
149,72,19,201,441,292,0.6621315192743764,312,Tomáš Goláň,SEN 21,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/golant_295.jpg,Zlín,ODS a TOP 09,66
114,95,7,225,441,327,0.7414965986394558,316,Pavel Karpíšek,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/karpisekp_295.jpg,Rokycany,ODS a TOP 09,74
136,38,21,246,441,305,0.691609977324263,317,Vladislav Vilímec,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/vilimecv_295.jpg,Domažlice,ODS a TOP 09,69
98,77,31,235,441,343,0.7777777777777778,318,Ladislav Faktor,NK,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/faktorl_295.jpg,České Budějovice,ODS a TOP 09,78
119,35,18,269,441,322,0.7301587301587301,363,Jarmila Smotlachová,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/smotlachovaj_295.jpg,Mělník,ODS a TOP 09,73
9,58,7,367,441,432,0.9795918367346939,322,Ladislav Chlupáč,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chlupacl_295.jpg,Litoměřice,ODS a TOP 09,98
141,91,14,195,441,300,0.6802721088435374,323,Raduan Nwelati,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nwelatir_295.jpg,Mladá Boleslav,ODS a TOP 09,68
84,56,9,292,441,357,0.8095238095238095,315,Přemysl Rabas,SEN 21,SEN 21 a Piráti,https://www.senat.cz/images/senatori/rabasp_295.jpg,Chomutov,SEN 21 a Piráti,81
81,83,21,256,441,360,0.8163265306122449,343,Adéla Šípová,Piráti,SEN 21 a Piráti,https://www.senat.cz/images/senatori/sipovaa_295.jpg,Kladno,SEN 21 a Piráti,82
56,84,17,284,441,385,0.873015873015873,320,Lukáš Wagenknecht,Piráti,SEN 21 a Piráti,https://www.senat.cz/images/senatori/wagenknechtl_295.jpg,Praha 8,SEN 21 a Piráti,87
101,76,5,259,441,340,0.7709750566893424,345,Jan Holásek,HDK+TOP+SE+Z+LE,SEN 21 a Piráti,https://www.senat.cz/images/senatori/holasekj_295.jpg,Hradec Králové,SEN 21 a Piráti,77
143,74,13,211,441,298,0.6757369614512472,278,Václav Láska,SEN 21,SEN 21 a Piráti,https://www.senat.cz/images/senatori/laskav_295.jpg,Praha 5,SEN 21 a Piráti,68
71,67,11,292,441,370,0.8390022675736961,364,Martin Krsek,SEN 21,SEN 21 a Piráti,https://www.senat.cz/images/senatori/krsekm_295.jpg,Ústí nad Labem,SEN 21 a Piráti,84
35,56,8,342,441,406,0.9206349206349206,352,Helena Pešatová,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/pesatovah_295.jpg,Frýdek-Místek,STAN,92
68,101,6,266,441,373,0.8458049886621315,282,Jiří Vosecký,STAN+SLK,Starostové a nezávislí,https://www.senat.cz/images/senatori/voseckyj_295.jpg,Česká Lípa,STAN,85
84,56,6,295,441,357,0.8095238095238095,349,Karel Zitterbart,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/zitterbartk_295.jpg,Vyškov,STAN,81
20,62,7,352,441,421,0.9546485260770975,344,Pavel Kárník,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/karnikp_295.jpg,Kolín,STAN,95
77,51,10,303,441,364,0.8253968253968254,341,Petr Štěpánek,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/stepanekp_295.jpg,Příbram,STAN,83
64,48,6,323,441,377,0.854875283446712,337,Ivo Trešl,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/tresli_295.jpg,Louny,STAN,85
27,70,5,339,441,414,0.9387755102040817,336,Miroslav Plevný,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/plevnym_295.jpg,Cheb,STAN,94
59,140,2,240,441,382,0.8662131519274376,281,Zbyněk Linhart,STAN+SLK,Starostové a nezávislí,https://www.senat.cz/images/senatori/linhartz_295.jpg,Děčín,STAN,87
84,51,4,302,441,357,0.8095238095238095,270,Leopold Sulovský,Ostravak,Starostové a nezávislí,https://www.senat.cz/images/senatori/sulovskyl_295.jpg,Ostrava-město,STAN,81
362,1,2,76,441,79,0.17913832199546487,330,Mikuláš Bek,ZelODSSTANTOP09,Starostové a nezávislí,https://www.senat.cz/images/senatori/bekm_295.jpg,Brno-město,STAN,18
38,61,8,334,441,403,0.9138321995464853,328,Hana Žáková,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/zakovah_295.jpg,Třebíč,STAN,91
56,96,13,276,441,385,0.873015873015873,321,Marek Hilšer,MHS,Starostové a nezávislí,https://www.senat.cz/images/senatori/hilserm_295.jpg,Praha 2,STAN,87
90,76,1,274,441,351,0.7959183673469388,314,Miroslav Balatka,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/balatkam_295.jpg,Sokolov,STAN,80
150,32,5,254,441,291,0.6598639455782312,313,Jiří Drahoš,KDU+Z+STAN+TOP,Starostové a nezávislí,https://www.senat.cz/images/senatori/drahosj_295.jpg,Praha 4,STAN,66
37,50,8,346,441,404,0.9160997732426304,311,Jan Sobotka,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/sobotkaj_295.jpg,Trutnov,STAN,92
9,69,31,332,441,432,0.9795918367346939,300,Michael Canov,SLK,Starostové a nezávislí,https://www.senat.cz/images/senatori/canovm_295.jpg,Liberec,STAN,98
70,73,6,292,441,371,0.8412698412698413,351,Marek Ošťádal,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/ostadalm_295.jpg,Olomouc,STAN,84
141,42,5,253,441,300,0.6802721088435374,334,David Smoljak,STAN+Piráti+TOP,Starostové a nezávislí,https://www.senat.cz/images/senatori/smoljakd_295.jpg,Praha 9,STAN,68
