abstain,no,not_voting,yes,possible,attendance,rate,mp_id,name,party,group,photo,constituency,abbreviation,účast
171,34,490,822,1517,1027,0.6769940672379697,134,Ondřej Feber,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/febero_295.jpg,Karviná,ANO a SOCDEM,68
46,7,208,134,395,187,0.47341772151898737,367,Zdeněk Matušek,ČSSD+ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/matusekz_295.jpg,Frýdek-Místek,ANO a SOCDEM,47
243,90,1227,1106,2666,1439,0.5397599399849963,206,Petr Vícha,ČSSD,ANO a SOCDEM,https://www.senat.cz/images/senatori/vichap_295.jpg,Karviná,ANO a SOCDEM,54
37,15,108,235,395,287,0.7265822784810126,356,Věra Procházková,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/prochazkovav_295.jpg,Karlovy Vary,ANO a SOCDEM,73
447,107,288,1767,2609,2321,0.8896128784975086,332,Miroslav Adámek,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/adamekm_295.jpg,Šumperk,ANO a SOCDEM,89
319,84,920,1343,2666,1746,0.654913728432108,305,Ladislav Václavec,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/vaclavecl_295.jpg,Bruntál,ANO a SOCDEM,65
417,112,522,1588,2639,2117,0.8021978021978022,63,Jitka Seitlová,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/seitlovaj_295.jpg,Přerov,KDU-ČSL,80
29,20,26,320,395,369,0.9341772151898734,366,Ivana Váňová,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vanovai_295.jpg,Nový Jičín,KDU-ČSL,93
42,5,85,263,395,310,0.7848101265822784,365,Bohuslav Procházka,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/prochazkab_295.jpg,Kutná Hora,KDU-ČSL,78
33,13,44,305,395,351,0.8886075949367088,355,Petr Fiala,KDU-ČSL+SproK,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/fialap_295.jpg,Ústí nad Orlicí,KDU-ČSL,89
173,70,136,1138,1517,1381,0.9103493737640079,354,Josef Bazala,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/bazalaj_295.jpg,Uherské Hradiště,KDU-ČSL,91
172,43,303,999,1517,1214,0.8002636783124588,347,Josef Klement,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/klementj_295.jpg,Žďár nad Sázavou,KDU-ČSL,80
330,98,468,1770,2666,2198,0.8244561140285072,304,Lumír Kantor,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/kantorl_295.jpg,Olomouc,KDU-ČSL,82
312,68,195,2091,2666,2471,0.9268567141785446,302,Jaromíra Vítková,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vitkovaj_295.jpg,Blansko,KDU-ČSL,93
43,8,35,309,395,360,0.9113924050632911,369,Eva Rajchmanová,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/rajchmanovae_295.jpg,Hodonín,KDU-ČSL,91
354,171,903,1238,2666,1763,0.6612903225806451,207,Jiří Čunek,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/cunekj_295.jpg,Vsetín,KDU-ČSL,66
624,42,484,1516,2666,2182,0.8184546136534133,272,Patrik Kunčar,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/kuncarp_295.jpg,Zlín,KDU-ČSL,82
321,46,681,1618,2666,1985,0.7445611402850713,240,Miluše Horská,KDU-ČSL+Nestran,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/horskam_295.jpg,Pardubice,KDU-ČSL,74
307,74,341,1887,2609,2268,0.8692985818321196,319,Pavel Fischer,NK,Nezařazení,https://www.senat.cz/images/senatori/fischerp_295.jpg,Praha 12,Nezařazení,87
103,94,12,186,395,383,0.9696202531645569,358,Daniela Kovářová,NK,Nezařazení,https://www.senat.cz/images/senatori/kovarovad_295.jpg,Plzeň-město,Nezařazení,97
61,21,176,137,395,219,0.5544303797468354,368,Jana Zwyrtek Hamplová,NEZ,Nezařazení,https://www.senat.cz/images/senatori/hamplovaj_295.jpg,Kroměříž,Nezařazení,55
42,11,40,302,395,355,0.8987341772151899,362,Hana Kordová Marvanová,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/marvanovah_295.jpg,Praha 11,ODS a TOP 09,90
344,116,460,1689,2609,2149,0.8236872364890763,329,Rostislav Koštial,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/kostialr_295.jpg,Břeclav,ODS a TOP 09,82
20,21,95,259,395,300,0.759493670886076,361,Jan Pirk,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/pirkj_295.jpg,Praha 10,ODS a TOP 09,76
201,120,760,1528,2609,1849,0.7087006515906478,331,Jitka Chalánková,NK,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chalankovaj_295.jpg,Prostějov,ODS a TOP 09,71
55,8,51,281,395,344,0.8708860759493671,359,Marek Slabý,KDUODST2020TOP,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/slabym_295.jpg,Tábor,ODS a TOP 09,87
258,55,596,1700,2609,2013,0.7715599846684553,333,Herbert Pavera,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/paverah_295.jpg,Opava,ODS a TOP 09,77
250,69,273,1080,1672,1399,0.8367224880382775,335,Hynek Hanza,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/hanzah_295.jpg,Teplice,ODS a TOP 09,84
360,93,790,1366,2609,1819,0.6972019931008049,327,Michal Kortyš,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/kortysm_295.jpg,Svitavy,ODS a TOP 09,70
125,57,41,1294,1517,1476,0.972972972972973,339,Tomáš Fiala,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/fialat_295.jpg,Strakonice,ODS a TOP 09,97
353,67,124,973,1517,1393,0.9182597231377719,340,Jaroslav Chalupský,Svobodní,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chalupskyj_295.jpg,Pelhřimov,ODS a TOP 09,92
182,73,241,1021,1517,1276,0.8411338167435728,342,Miroslava Němcová,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nemcovam_295.jpg,Praha 1,ODS a TOP 09,84
374,77,288,1927,2666,2378,0.891972993248312,243,Miloš Vystrčil,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/vystrcilm_295.jpg,Jihlava,ODS a TOP 09,89
193,53,95,1176,1517,1422,0.9373764007910349,346,Jan Grulich,TOP 09+LES,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/grulichj_295.jpg,Rychnov nad Kněžnou,ODS a TOP 09,94
949,53,843,821,2666,1823,0.6837959489872468,268,Jaroslav Zeman,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/zemanj_295.jpg,Jablonec nad Nisou,ODS a TOP 09,68
189,33,215,1080,1517,1302,0.8582729070533949,348,Tomáš Třetina,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/tretinat_295.jpg,Znojmo,ODS a TOP 09,86
133,33,516,835,1517,1001,0.6598549769281477,353,Ondřej Šimetka,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/simetkao_295.jpg,Ostrava-město,ODS a TOP 09,66
46,9,70,270,395,325,0.8227848101265823,357,Jan Paparega,ProMOST,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/paparegaj_295.jpg,Most,ODS a TOP 09,82
111,92,107,1207,1517,1410,0.9294660514172709,350,Roman Kraus,ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/krausr_295.jpg,Brno-město,ODS a TOP 09,93
452,70,380,1707,2609,2229,0.8543503257953239,326,Martin Červíček,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/cervicekm_295.jpg,Náchod,ODS a TOP 09,85
408,50,644,1507,2609,1965,0.7531621310847068,324,Zdeněk Hraba,STAN,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/hrabaz_295.jpg,Benešov,ODS a TOP 09,75
503,42,395,1726,2666,2271,0.8518379594898725,298,Jiří Růžička,KDU+ODS+STA+TOP,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/ruzickaj_295.jpg,Praha 6,ODS a TOP 09,85
571,146,529,1420,2666,2137,0.8015753938484621,171,Tomáš Jirsa,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/jirsat_295.jpg,Český Krumlov,ODS a TOP 09,80
271,72,298,2025,2666,2368,0.8882220555138785,301,Tomáš Czernin,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/czernint_295.jpg,Jičín,ODS a TOP 09,89
340,85,738,1503,2666,1928,0.7231807951987997,303,Jiří Dušek,ČSSDODSVasFaktB,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/dusekj_295.jpg,Brno-město,ODS a TOP 09,72
390,65,698,1486,2639,1941,0.7355058734369079,275,Lumír Aschenbrenner,ODSTOPKDUADSMon,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/aschenbrennerl_295.jpg,Plzeň-město,ODS a TOP 09,74
423,124,145,1974,2666,2521,0.9456114028507127,307,Zdeněk Nytra,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nytraz_295.jpg,Ostrava-město,ODS a TOP 09,95
353,64,921,1328,2666,1745,0.6545386346586647,172,Jiří Oberfalzer,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/oberfalzerj_295.jpg,Beroun,ODS a TOP 09,65
356,84,59,2110,2609,2550,0.9773859716366424,325,Jan Tecl,ODS+STAN+STO,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/teclj_295.jpg,Chrudim,ODS a TOP 09,98
42,13,79,261,395,316,0.8,194,Tomáš Töpfer,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/topfert_295.jpg,Brno-město,ODS a TOP 09,80
364,85,575,1615,2639,2064,0.782114437286851,312,Tomáš Goláň,SEN 21,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/golant_295.jpg,Zlín,ODS a TOP 09,78
406,37,843,1348,2634,1791,0.6799544419134397,316,Pavel Karpíšek,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/karpisekp_295.jpg,Rokycany,ODS a TOP 09,68
245,111,806,1447,2609,1803,0.6910693752395554,317,Vladislav Vilímec,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/vilimecv_295.jpg,Domažlice,ODS a TOP 09,69
376,138,287,1808,2609,2322,0.8899961671138367,318,Ladislav Faktor,NK,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/faktorl_295.jpg,České Budějovice,ODS a TOP 09,89
19,9,168,199,395,227,0.5746835443037974,363,Jarmila Smotlachová,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/smotlachovaj_295.jpg,Mělník,ODS a TOP 09,57
294,28,701,1586,2609,1908,0.7313146799540053,322,Ladislav Chlupáč,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chlupacl_295.jpg,Litoměřice,ODS a TOP 09,73
424,120,398,1667,2609,2211,0.8474511307014182,323,Raduan Nwelati,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nwelatir_295.jpg,Mladá Boleslav,ODS a TOP 09,85
288,71,494,1756,2609,2115,0.8106554235339211,315,Přemysl Rabas,SEN 21,SEN 21 a Piráti,https://www.senat.cz/images/senatori/rabasp_295.jpg,Chomutov,SEN 21 a Piráti,81
195,91,262,969,1517,1255,0.8272907053394858,343,Adéla Šípová,Piráti,SEN 21 a Piráti,https://www.senat.cz/images/senatori/sipovaa_295.jpg,Kladno,SEN 21 a Piráti,83
416,132,236,1825,2609,2373,0.9095438865465696,320,Lukáš Wagenknecht,Piráti,SEN 21 a Piráti,https://www.senat.cz/images/senatori/wagenknechtl_295.jpg,Praha 8,SEN 21 a Piráti,91
207,41,304,965,1517,1213,0.7996044825313118,345,Jan Holásek,HDK+TOP+SE+Z+LE,SEN 21 a Piráti,https://www.senat.cz/images/senatori/holasekj_295.jpg,Hradec Králové,SEN 21 a Piráti,80
368,102,911,1258,2639,1728,0.6547934823796893,278,Václav Láska,SEN 21,SEN 21 a Piráti,https://www.senat.cz/images/senatori/laskav_295.jpg,Praha 5,SEN 21 a Piráti,65
51,9,62,273,395,333,0.8430379746835444,364,Martin Krsek,SEN 21,SEN 21 a Piráti,https://www.senat.cz/images/senatori/krsekm_295.jpg,Ústí nad Labem,SEN 21 a Piráti,84
155,24,201,1057,1437,1236,0.860125260960334,352,Helena Pešatová,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/pesatovah_295.jpg,Frýdek-Místek,STAN,86
400,33,477,1729,2639,2162,0.8192497158014399,282,Jiří Vosecký,STAN+SLK,Starostové a nezávislí,https://www.senat.cz/images/senatori/voseckyj_295.jpg,Česká Lípa,STAN,82
156,51,146,1084,1437,1291,0.8983994432846207,349,Karel Zitterbart,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/zitterbartk_295.jpg,Vyškov,STAN,90
194,20,114,1189,1517,1403,0.924851680949242,344,Pavel Kárník,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/karnikp_295.jpg,Kolín,STAN,92
205,39,135,1138,1517,1382,0.9110085695451549,341,Petr Štěpánek,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/stepanekp_295.jpg,Příbram,STAN,91
133,30,266,1088,1517,1251,0.8246539222148979,337,Ivo Trešl,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/tresli_295.jpg,Louny,STAN,82
201,38,122,1156,1517,1395,0.9195781147000659,336,Miroslav Plevný,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/plevnym_295.jpg,Cheb,STAN,92
784,15,288,1552,2639,2351,0.8908677529367185,281,Zbyněk Linhart,STAN+SLK,Starostové a nezávislí,https://www.senat.cz/images/senatori/linhartz_295.jpg,Děčín,STAN,89
400,16,563,1687,2666,2103,0.7888222055513878,270,Leopold Sulovský,Ostravak,Starostové a nezávislí,https://www.senat.cz/images/senatori/sulovskyl_295.jpg,Ostrava-město,STAN,79
282,63,748,1516,2609,1861,0.7133001149865849,330,Mikuláš Bek,ZelODSSTANTOP09,Starostové a nezávislí,https://www.senat.cz/images/senatori/bekm_295.jpg,Brno-město,STAN,71
361,42,328,1878,2609,2281,0.8742813338443848,328,Hana Žáková,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/zakovah_295.jpg,Třebíč,STAN,87
411,80,340,1778,2609,2269,0.8696818704484477,321,Marek Hilšer,MHS,Starostové a nezávislí,https://www.senat.cz/images/senatori/hilserm_295.jpg,Praha 2,STAN,87
384,84,320,1821,2609,2289,0.8773476427750095,314,Miroslav Balatka,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/balatkam_295.jpg,Sokolov,STAN,88
359,29,486,1735,2609,2123,0.8137217324645458,313,Jiří Drahoš,KDU+Z+STAN+TOP,Starostové a nezávislí,https://www.senat.cz/images/senatori/drahosj_295.jpg,Praha 4,STAN,81
288,51,340,1960,2639,2299,0.8711633194391815,311,Jan Sobotka,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/sobotkaj_295.jpg,Trutnov,STAN,87
348,94,40,2184,2666,2626,0.9849962490622656,300,Michael Canov,SLK,Starostové a nezávislí,https://www.senat.cz/images/senatori/canovm_295.jpg,Liberec,STAN,98
147,44,233,1093,1517,1284,0.8464073829927489,351,Marek Ošťádal,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/ostadalm_295.jpg,Olomouc,STAN,85
282,67,357,1632,2338,1981,0.8473053892215568,334,David Smoljak,STAN+Piráti+TOP,Starostové a nezávislí,https://www.senat.cz/images/senatori/smoljakd_295.jpg,Praha 9,STAN,85
