voter_id,name,not_present,present,total,present_rate,not_present_rate,mp_id,party,group,photo,constituency,účast,abbreviation
134,Ondřej Feber,2,18,20,0.9,0.1,134,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/febero_295.jpg,Karviná,90,ANO a SOCDEM
367,Zdeněk Matušek,3,17,20,0.85,0.15,367,ČSSD+ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/matusekz_295.jpg,Frýdek-Místek,85,ANO a SOCDEM
206,Petr Vícha,2,18,20,0.9,0.1,206,ČSSD,ANO a SOCDEM,https://www.senat.cz/images/senatori/vichap_295.jpg,Karviná,90,ANO a SOCDEM
356,Věra Procházková,1,19,20,0.95,0.05,356,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/prochazkovav_295.jpg,Karlovy Vary,95,ANO a SOCDEM
332,Miroslav Adámek,0,20,20,1.0,0.0,332,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/adamekm_295.jpg,Šumperk,100,ANO a SOCDEM
305,Ladislav Václavec,2,18,20,0.9,0.1,305,ANO,ANO a SOCDEM,https://www.senat.cz/images/senatori/vaclavecl_295.jpg,Bruntál,90,ANO a SOCDEM
63,Jitka Seitlová,1,19,20,0.95,0.05,63,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/seitlovaj_295.jpg,Přerov,95,KDU-ČSL
366,Ivana Váňová,0,20,20,1.0,0.0,366,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vanovai_295.jpg,Nový Jičín,100,KDU-ČSL
365,Bohuslav Procházka,3,17,20,0.85,0.15,365,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/prochazkab_295.jpg,Kutná Hora,85,KDU-ČSL
355,Petr Fiala,0,20,20,1.0,0.0,355,KDU-ČSL+SproK,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/fialap_295.jpg,Ústí nad Orlicí,100,KDU-ČSL
354,Josef Bazala,3,17,20,0.85,0.15,354,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/bazalaj_295.jpg,Uherské Hradiště,85,KDU-ČSL
347,Josef Klement,2,18,20,0.9,0.1,347,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/klementj_295.jpg,Žďár nad Sázavou,90,KDU-ČSL
304,Lumír Kantor,0,20,20,1.0,0.0,304,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/kantorl_295.jpg,Olomouc,100,KDU-ČSL
302,Jaromíra Vítková,1,19,20,0.95,0.05,302,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/vitkovaj_295.jpg,Blansko,95,KDU-ČSL
369,Eva Rajchmanová,2,18,20,0.9,0.1,369,KDU+ODS+TOP 09,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/rajchmanovae_295.jpg,Hodonín,90,KDU-ČSL
207,Jiří Čunek,5,15,20,0.75,0.25,207,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/cunekj_295.jpg,Vsetín,75,KDU-ČSL
272,Patrik Kunčar,1,19,20,0.95,0.05,272,KDU-ČSL,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/kuncarp_295.jpg,Zlín,95,KDU-ČSL
240,Miluše Horská,3,17,20,0.85,0.15,240,KDU-ČSL+Nestran,KDU-ČSL a nezávislí,https://www.senat.cz/images/senatori/horskam_295.jpg,Pardubice,85,KDU-ČSL
319,Pavel Fischer,1,19,20,0.95,0.05,319,NK,Nezařazení,https://www.senat.cz/images/senatori/fischerp_295.jpg,Praha 12,95,Nezařazení
358,Daniela Kovářová,0,20,20,1.0,0.0,358,NK,Nezařazení,https://www.senat.cz/images/senatori/kovarovad_295.jpg,Plzeň-město,100,Nezařazení
368,Jana Zwyrtek Hamplová,5,15,20,0.75,0.25,368,NEZ,Nezařazení,https://www.senat.cz/images/senatori/hamplovaj_295.jpg,Kroměříž,75,Nezařazení
362,Hana Kordová Marvanová,0,20,20,1.0,0.0,362,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/marvanovah_295.jpg,Praha 11,100,ODS a TOP 09
329,Rostislav Koštial,0,20,20,1.0,0.0,329,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/kostialr_295.jpg,Břeclav,100,ODS a TOP 09
361,Jan Pirk,1,19,20,0.95,0.05,361,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/pirkj_295.jpg,Praha 10,95,ODS a TOP 09
331,Jitka Chalánková,1,19,20,0.95,0.05,331,NK,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chalankovaj_295.jpg,Prostějov,95,ODS a TOP 09
359,Marek Slabý,3,17,20,0.85,0.15,359,KDUODST2020TOP,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/slabym_295.jpg,Tábor,85,ODS a TOP 09
333,Herbert Pavera,1,19,20,0.95,0.05,333,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/paverah_295.jpg,Opava,95,ODS a TOP 09
335,Hynek Hanza,4,16,20,0.8,0.2,335,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/hanzah_295.jpg,Teplice,80,ODS a TOP 09
327,Michal Kortyš,4,16,20,0.8,0.2,327,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/kortysm_295.jpg,Svitavy,80,ODS a TOP 09
339,Tomáš Fiala,0,20,20,1.0,0.0,339,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/fialat_295.jpg,Strakonice,100,ODS a TOP 09
340,Jaroslav Chalupský,1,19,20,0.95,0.05,340,Svobodní,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chalupskyj_295.jpg,Pelhřimov,95,ODS a TOP 09
342,Miroslava Němcová,1,19,20,0.95,0.05,342,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nemcovam_295.jpg,Praha 1,95,ODS a TOP 09
243,Miloš Vystrčil,1,19,20,0.95,0.05,243,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/vystrcilm_295.jpg,Jihlava,95,ODS a TOP 09
346,Jan Grulich,0,20,20,1.0,0.0,346,TOP 09+LES,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/grulichj_295.jpg,Rychnov nad Kněžnou,100,ODS a TOP 09
268,Jaroslav Zeman,3,17,20,0.85,0.15,268,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/zemanj_295.jpg,Jablonec nad Nisou,85,ODS a TOP 09
348,Tomáš Třetina,1,19,20,0.95,0.05,348,ODS+STAN+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/tretinat_295.jpg,Znojmo,95,ODS a TOP 09
353,Ondřej Šimetka,4,16,20,0.8,0.2,353,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/simetkao_295.jpg,Ostrava-město,80,ODS a TOP 09
357,Jan Paparega,2,18,20,0.9,0.1,357,ProMOST,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/paparegaj_295.jpg,Most,90,ODS a TOP 09
350,Roman Kraus,0,20,20,1.0,0.0,350,ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/krausr_295.jpg,Brno-město,100,ODS a TOP 09
326,Martin Červíček,1,19,20,0.95,0.05,326,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/cervicekm_295.jpg,Náchod,95,ODS a TOP 09
324,Zdeněk Hraba,2,18,20,0.9,0.1,324,STAN,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/hrabaz_295.jpg,Benešov,90,ODS a TOP 09
298,Jiří Růžička,1,19,20,0.95,0.05,298,KDU+ODS+STA+TOP,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/ruzickaj_295.jpg,Praha 6,95,ODS a TOP 09
171,Tomáš Jirsa,2,18,20,0.9,0.1,171,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/jirsat_295.jpg,Český Krumlov,90,ODS a TOP 09
301,Tomáš Czernin,0,20,20,1.0,0.0,301,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/czernint_295.jpg,Jičín,100,ODS a TOP 09
303,Jiří Dušek,3,17,20,0.85,0.15,303,ČSSDODSVasFaktB,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/dusekj_295.jpg,Brno-město,85,ODS a TOP 09
275,Lumír Aschenbrenner,2,18,20,0.9,0.1,275,ODSTOPKDUADSMon,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/aschenbrennerl_295.jpg,Plzeň-město,90,ODS a TOP 09
307,Zdeněk Nytra,0,20,20,1.0,0.0,307,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nytraz_295.jpg,Ostrava-město,100,ODS a TOP 09
172,Jiří Oberfalzer,1,19,20,0.95,0.05,172,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/oberfalzerj_295.jpg,Beroun,95,ODS a TOP 09
325,Jan Tecl,0,20,20,1.0,0.0,325,ODS+STAN+STO,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/teclj_295.jpg,Chrudim,100,ODS a TOP 09
194,Tomáš Töpfer,3,17,20,0.85,0.15,194,KDU+ODS+TOP 09,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/topfert_295.jpg,Brno-město,85,ODS a TOP 09
312,Tomáš Goláň,4,16,20,0.8,0.2,312,SEN 21,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/golant_295.jpg,Zlín,80,ODS a TOP 09
316,Pavel Karpíšek,3,17,20,0.85,0.15,316,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/karpisekp_295.jpg,Rokycany,85,ODS a TOP 09
317,Vladislav Vilímec,3,17,20,0.85,0.15,317,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/vilimecv_295.jpg,Domažlice,85,ODS a TOP 09
318,Ladislav Faktor,4,16,20,0.8,0.2,318,NK,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/faktorl_295.jpg,České Budějovice,80,ODS a TOP 09
363,Jarmila Smotlachová,4,16,20,0.8,0.2,363,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/smotlachovaj_295.jpg,Mělník,80,ODS a TOP 09
322,Ladislav Chlupáč,0,20,20,1.0,0.0,322,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/chlupacl_295.jpg,Litoměřice,100,ODS a TOP 09
323,Raduan Nwelati,6,14,20,0.7,0.3,323,ODS,Občanské demokratické strany a TOP 09,https://www.senat.cz/images/senatori/nwelatir_295.jpg,Mladá Boleslav,70,ODS a TOP 09
315,Přemysl Rabas,2,18,20,0.9,0.1,315,SEN 21,SEN 21 a Piráti,https://www.senat.cz/images/senatori/rabasp_295.jpg,Chomutov,90,SEN 21 a Piráti
343,Adéla Šípová,1,19,20,0.95,0.05,343,Piráti,SEN 21 a Piráti,https://www.senat.cz/images/senatori/sipovaa_295.jpg,Kladno,95,SEN 21 a Piráti
320,Lukáš Wagenknecht,1,19,20,0.95,0.05,320,Piráti,SEN 21 a Piráti,https://www.senat.cz/images/senatori/wagenknechtl_295.jpg,Praha 8,95,SEN 21 a Piráti
345,Jan Holásek,1,19,20,0.95,0.05,345,HDK+TOP+SE+Z+LE,SEN 21 a Piráti,https://www.senat.cz/images/senatori/holasekj_295.jpg,Hradec Králové,95,SEN 21 a Piráti
278,Václav Láska,1,19,20,0.95,0.05,278,SEN 21,SEN 21 a Piráti,https://www.senat.cz/images/senatori/laskav_295.jpg,Praha 5,95,SEN 21 a Piráti
364,Martin Krsek,2,18,20,0.9,0.1,364,SEN 21,SEN 21 a Piráti,https://www.senat.cz/images/senatori/krsekm_295.jpg,Ústí nad Labem,90,SEN 21 a Piráti
352,Helena Pešatová,0,20,20,1.0,0.0,352,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/pesatovah_295.jpg,Frýdek-Místek,100,STAN
282,Jiří Vosecký,1,19,20,0.95,0.05,282,STAN+SLK,Starostové a nezávislí,https://www.senat.cz/images/senatori/voseckyj_295.jpg,Česká Lípa,95,STAN
349,Karel Zitterbart,3,17,20,0.85,0.15,349,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/zitterbartk_295.jpg,Vyškov,85,STAN
344,Pavel Kárník,1,19,20,0.95,0.05,344,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/karnikp_295.jpg,Kolín,95,STAN
341,Petr Štěpánek,1,19,20,0.95,0.05,341,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/stepanekp_295.jpg,Příbram,95,STAN
337,Ivo Trešl,1,19,20,0.95,0.05,337,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/tresli_295.jpg,Louny,95,STAN
336,Miroslav Plevný,0,20,20,1.0,0.0,336,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/plevnym_295.jpg,Cheb,100,STAN
281,Zbyněk Linhart,2,18,20,0.9,0.1,281,STAN+SLK,Starostové a nezávislí,https://www.senat.cz/images/senatori/linhartz_295.jpg,Děčín,90,STAN
270,Leopold Sulovský,2,18,20,0.9,0.1,270,Ostravak,Starostové a nezávislí,https://www.senat.cz/images/senatori/sulovskyl_295.jpg,Ostrava-město,90,STAN
330,Mikuláš Bek,8,12,20,0.6,0.4,330,ZelODSSTANTOP09,Starostové a nezávislí,https://www.senat.cz/images/senatori/bekm_295.jpg,Brno-město,60,STAN
328,Hana Žáková,0,20,20,1.0,0.0,328,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/zakovah_295.jpg,Třebíč,100,STAN
321,Marek Hilšer,2,18,20,0.9,0.1,321,MHS,Starostové a nezávislí,https://www.senat.cz/images/senatori/hilserm_295.jpg,Praha 2,90,STAN
314,Miroslav Balatka,2,18,20,0.9,0.1,314,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/balatkam_295.jpg,Sokolov,90,STAN
313,Jiří Drahoš,4,16,20,0.8,0.2,313,KDU+Z+STAN+TOP,Starostové a nezávislí,https://www.senat.cz/images/senatori/drahosj_295.jpg,Praha 4,80,STAN
311,Jan Sobotka,0,20,20,1.0,0.0,311,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/sobotkaj_295.jpg,Trutnov,100,STAN
300,Michael Canov,0,20,20,1.0,0.0,300,SLK,Starostové a nezávislí,https://www.senat.cz/images/senatori/canovm_295.jpg,Liberec,100,STAN
351,Marek Ošťádal,3,17,20,0.85,0.15,351,STAN,Starostové a nezávislí,https://www.senat.cz/images/senatori/ostadalm_295.jpg,Olomouc,85,STAN
334,David Smoljak,5,15,20,0.75,0.25,334,STAN+Piráti+TOP,Starostové a nezávislí,https://www.senat.cz/images/senatori/smoljakd_295.jpg,Praha 9,75,STAN
